Species Common Name,Response Type,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021
Bighorn Sheep,Haze - Hard,,,,,,,,1,,3,1,4
Black Bear,Haze - Hard,2,1,,,,,1,65,124,357,65,219
Cougar,Haze - Hard,,,,,,,,3,,,,
Coyote,Haze - Hard,,,,,,,,1,,1,1,2
Domestic Dog,Haze - Hard,,,,,,,,2,1,1,,
Elk,Haze - Hard,,,,,,,,82,49,157,151,295
Grizzly Bear,Haze - Hard,,,,,,,,44,46,134,78,115
Hoary Marmot,Haze - Hard,,,,,,,,,,1,,
Moose,Haze - Hard,,,,,,,,1,,10,1,
Mountain Goat,Haze - Hard,,,,,,,,,,1,,1
Mule Deer,Haze - Hard,,,,,,,,3,4,2,,1
Plains Bison,Haze - Hard,,,,,,,,,1,,,
Red Fox,Haze - Hard,,,,,,,,,,2,,
Wolf,Haze - Hard,,,,,,,,5,2,,3,
American Tree Sparrow,Haze - Soft,,,,,1,,,,,,,
Beaver,Haze - Soft,,,,,,,,,1,,2,1
Bighorn Sheep,Haze - Soft,11,8,25,16,21,35,24,27,42,45,47,69
Black Bear,Haze - Soft,192,376,395,326,572,438,294,511,545,884,424,707
Black-tailed deer,Haze - Soft,,,,,,,,1,1,,,
Blue Grouse,Haze - Soft,,,,,,,,1,,,,
Canada Goose,Haze - Soft,,1,,1,1,36,15,1,,1,,
Chipping Sparrow,Haze - Soft,,,,,,,,,,,1,
Columbian Ground Squirrel,Haze - Soft,,,,,,,,,1,,1,1
Cougar,Haze - Soft,1,3,1,1,4,1,2,1,1,,1,2
Coyote,Haze - Soft,7,28,15,8,27,15,6,11,21,8,12,6
Domestic Dog,Haze - Soft,,,,,,,,2,,1,1,3
Double-crested Cormorant,Haze - Soft,,,,,,,,,,,1,
Elk,Haze - Soft,337,406,299,343,503,674,598,563,625,1218,1753,1618
Gray Jay,Haze - Soft,,,,,,,,,,,,1
Great Grey Owl,Haze - Soft,,,,,,,,1,,,,
Grizzly Bear,Haze - Soft,77,142,142,155,241,168,266,255,207,335,396,486
Hoary Marmot,Haze - Soft,,2,,,,,,,,1,,
Jackrabbit,Haze - Soft,,,,1,,,,,,,,
Lynx,Haze - Soft,,2,,,1,,,,,2,,
Magpie,Haze - Soft,1,,,,,,,,,,,
Mallard,Haze - Soft,1,,,,,,,,,,,1
Marten,Haze - Soft,,,,,,,1,,1,,1,1
Moose,Haze - Soft,3,3,5,3,4,5,1,9,20,19,48,24
Mountain Goat,Haze - Soft,5,9,4,5,5,9,2,11,10,6,6,8
Mule Deer,Haze - Soft,19,17,25,29,30,48,29,17,29,39,49,22
None,Haze - Soft,1,,,1,3,,1,,,2,,
Plains Bison,Haze - Soft,,10,1,2,1,4,4,,5,10,3,1
Polar Bear,Haze - Soft,,,,,,,,,2,7,1,
Porcupine,Haze - Soft,,,1,,,,,1,,1,,
Prairie Rattlesnake,Haze - Soft,,,,,,2,,,,1,,
Raccoon,Haze - Soft,,,1,,1,,,1,2,,,
Raven,Haze - Soft,,,1,,,,,,,,,
Red Fox,Haze - Soft,1,2,1,,1,2,,4,3,17,28,12
Red Squirrel,Haze - Soft,,,,,,,,,,,1,
Rufous Hummingbird,Haze - Soft,,,,,,,,,,,,1
Spruce Grouse,Haze - Soft,,,,,,,,,,,,1
Unknown,Haze - Soft,,,,,1,1,,,,1,,
Unknown bear,Haze - Soft,2,5,3,,7,2,17,,1,4,,
Unknown bird,Haze - Soft,,,,,,,,,1,,1,
Unknown deer,Haze - Soft,3,2,2,1,1,2,1,3,1,,,
Unknown sucker,Haze - Soft,1,,,,,,,,,,,
White-tailed Deer,Haze - Soft,1,1,7,9,4,4,9,11,4,2,4,
Wolf,Haze - Soft,5,5,4,8,8,8,19,19,5,11,17,4
Wood Bison,Haze - Soft,1,1,,1,,,,,,,,
Woodchuck,Haze - Soft,,,,,,,,,,1,,
Beaver,Immobilize Animal,,,,,1,,,,,,,
Bighorn Sheep,Immobilize Animal,,,1,,1,,,1,1,,1,
Black Bear,Immobilize Animal,2,5,2,1,8,,,7,5,2,1,3
Caribou,Immobilize Animal,,,,1,,,,,,,,
Cooper's Hawk,Immobilize Animal,,,,1,,,,,,,,
Cougar,Immobilize Animal,,1,,,1,,1,,,,,
Domestic Bison,Immobilize Animal,,,,,,,,,1,,,
Elk,Immobilize Animal,3,2,2,1,1,2,8,5,2,1,3,1
Grizzly Bear,Immobilize Animal,,,1,,,,,2,1,1,1,2
Hoary Marmot,Immobilize Animal,,,,,,,,,,,,1
Mule Deer,Immobilize Animal,2,,,,,1,1,,1,3,1,
Northern Gannet,Immobilize Animal,1,,,,,,,,,,,
Plains Bison,Immobilize Animal,,,,,,,,,,1,,
Raccoon,Immobilize Animal,,,,,1,,,,,,,
White Pelican,Immobilize Animal,,,,1,,,,,,,,
White-tailed Deer,Immobilize Animal,,,,,1,,,,,,,
Wolf,Immobilize Animal,,,,,,,,,,1,1,1
American Robin,Inform Visitor,,,,1,1,,,,1,,,
Ant,Inform Visitor,,,,,,,,,,,1,
Bald Eagle,Inform Visitor,,1,,,1,,,3,1,,,
Barn Swallow,Inform Visitor,,,,,1,,,1,,,1,1
Barred Owl,Inform Visitor,,,,1,,,,,,,,
Beaver,Inform Visitor,,1,,,,1,,,,2,,
Belted Kingfisher,Inform Visitor,1,,,,,,,,,,,
Bighorn Sheep,Inform Visitor,4,3,,1,5,3,5,5,5,4,,3
Black Bear,Inform Visitor,70,75,38,27,74,44,60,103,136,99,38,52
Black Oystercatcher,Inform Visitor,,1,,,,,,,,,,
Black-tailed deer,Inform Visitor,,,,,,,,1,,,,
Black-tailed prairie dog,Inform Visitor,1,1,,,,1,1,,,,1,
Brown-headed cowbird,Inform Visitor,,,1,,,,,,,,,
Burrowing Owl,Inform Visitor,,,,,,,8,,,,1,4
California Gull,Inform Visitor,,,,,1,,,,,,,
California Sea Lion,Inform Visitor,,,,,,,,1,,,,
Canada Goose,Inform Visitor,,,,2,,1,,1,2,,,
Caribou,Inform Visitor,,,,,,1,1,,,,,
Cedar Waxwing,Inform Visitor,,,1,,,,,,,,,
Cliff Swallow,Inform Visitor,,,,,,,,,,,,1
Columbian Ground Squirrel,Inform Visitor,2,1,1,1,,,1,1,2,,4,
Common Loon,Inform Visitor,,,,,,,,,1,,,1
Common Murre,Inform Visitor,1,,,,,,,,,,,
Cooper's Hawk,Inform Visitor,,,,,,,,1,,,,
Cougar,Inform Visitor,3,8,8,1,1,,1,7,1,,1,9
Coyote,Inform Visitor,6,2,1,4,13,7,5,1,1,,1,
Crow,Inform Visitor,,,,,,,,2,,,,1
Dark-eyed Junco,Inform Visitor,,,,1,1,,,,,,,
Domestic Cat,Inform Visitor,,,,,,1,,,,1,1,
Domestic Dog,Inform Visitor,15,7,2,3,7,3,11,17,12,11,9,4
Domestic Horse,Inform Visitor,,,,,1,,,,,,,
Double-crested Cormorant,Inform Visitor,1,,,,,,,,,,,
Downy Woodpecker,Inform Visitor,1,,,,,,,,,,,
Eastern Chipmunk,Inform Visitor,,,,,,,,,,,1,
Eastern Foxsnake,Inform Visitor,,,,,1,,,,,,,
Elk,Inform Visitor,37,21,16,16,22,29,30,13,19,17,11,12
Five-lined Skink Carolinian,Inform Visitor,,,,,,1,,,,,,
Glaucous Gull,Inform Visitor,,,,,,,,,,,,1
Golden-crowned Kinglet,Inform Visitor,,,,,,,,,,1,,
Great Grey Owl,Inform Visitor,,,,,1,,,,,,,
Great Horned Owl,Inform Visitor,,,,,,,,,,,,2
Great White Shark,Inform Visitor,,,,,,,,,,,1,
Greater Sage-grouse,Inform Visitor,,,,,,,,,,,,1
Green Sea Turtle,Inform Visitor,,1,,,,,1,,,,,
Grey Seal,Inform Visitor,1,,,,,,,,,,,
Grizzly Bear,Inform Visitor,24,15,7,12,57,51,62,38,41,49,17,19
Harbour Porpoise,Inform Visitor,,,,,,,,1,,,1,
Harbour seal,Inform Visitor,3,,2,,,,,1,2,,1,
Harp Seal,Inform Visitor,,2,,,,,,,,,,
Herring Gull,Inform Visitor,,,,,,1,,,,,,
Hoary Marmot,Inform Visitor,,,,1,,2,,,,,,
Honey bee,Inform Visitor,,,,,,,,2,,,,
House Sparrow,Inform Visitor,,,1,,,,1,,,,,
Least Chipmunk,Inform Visitor,1,,,,1,,,1,1,,,
Least Weasel,Inform Visitor,,,,,1,,,,,,,
Little Brown Myotis,Inform Visitor,,,,,,1,,,1,1,,1
Long-beaked Common Dolphin,Inform Visitor,,,,,1,,,,1,,,
Lynx,Inform Visitor,1,,,,1,,,,1,,,
Magpie,Inform Visitor,,,,,,2,1,1,1,1,,1
Mallard,Inform Visitor,1,1,,,,,,,,1,,1
Marten,Inform Visitor,,2,,,,1,1,,3,3,1,4
Massasauga,Inform Visitor,1,3,2,9,,,,3,2,,,
Mink,Inform Visitor,,,,,,,,1,,,,
Moose,Inform Visitor,5,2,1,2,2,3,,8,10,6,,4
Mountain Goat,Inform Visitor,1,2,,,3,4,2,,1,,1,1
Mule Deer,Inform Visitor,28,12,9,3,8,14,8,6,2,9,3,8
Muskrat,Inform Visitor,,,,,,,,,,,,1
None,Inform Visitor,9,6,5,2,6,9,10,33,14,11,35,21
Northern Elephant Seal,Inform Visitor,,,,,,,,1,,,1,2
Northern Gannet,Inform Visitor,,1,,,,,,,,,,1
Northern Pygmy-Owl,Inform Visitor,,,,1,,,,,,,,
Northern Shoveler,Inform Visitor,,,,,,,,,,1,,
Osprey,Inform Visitor,,1,,,,,,,,,,
Plains Bison,Inform Visitor,7,3,5,4,3,11,17,16,14,39,17,8
Plains Gartersnake,Inform Visitor,,,,,,,,1,,1,,
Polar Bear,Inform Visitor,,,,,,,,,,1,13,
Porcupine,Inform Visitor,,,,,1,2,,4,1,,1,1
Prairie Rattlesnake,Inform Visitor,,,1,,,,,,1,2,1,
Raccoon,Inform Visitor,,1,2,,1,2,1,4,4,2,3,1
Raven,Inform Visitor,2,1,,,,,2,,,,3,2
Red Fox,Inform Visitor,2,1,9,1,2,,,,3,,1,4
Red Squirrel,Inform Visitor,1,,2,1,1,,2,2,1,2,3,2
Red-tailed Hawk,Inform Visitor,,,,,,,,1,,,,
Red-winged Blackbird,Inform Visitor,,,,,,,,,,,,1
Richardson's Ground Squirrel,Inform Visitor,,,,,,,1,3,6,1,1,1
Ring-billed Gull,Inform Visitor,,,,,,,,,1,,,
Rock Pigeon,Inform Visitor,,,,,,1,1,,1,2,1,
Sea Otter,Inform Visitor,,,,,,,,,,,1,
Sharp-shinned Hawk,Inform Visitor,,,,,,,,,1,1,,
Skunk,Inform Visitor,,1,1,,,1,2,,,,,
Snapping Turtle,Inform Visitor,,,,,,,,1,,,,
Snowshoe Hare,Inform Visitor,,,,,,,,,1,,1,
Steller Sea Lion,Inform Visitor,,,,,,,1,,1,,,
Swainson's Thrush,Inform Visitor,,1,,,,,,,,,,
Unknown,Inform Visitor,1,2,1,1,3,1,1,,1,1,1,1
Unknown bat,Inform Visitor,,1,,,,,,1,,1,,3
Unknown bear,Inform Visitor,4,,,2,1,2,,1,7,,1,
Unknown bird,Inform Visitor,1,,1,1,3,1,2,2,,1,1,1
Unknown Bison,Inform Visitor,1,,,,,,,,,,,
Unknown deer,Inform Visitor,,2,,1,1,,2,2,,,,
Unknown Duck,Inform Visitor,1,,,,,,,,,1,,
Unknown fish,Inform Visitor,,,,,,,,,,,,1
Unknown gull,Inform Visitor,,,,,,,,1,,,1,
Unknown Mollusk,Inform Visitor,,,,,,,,,,,,1
Unknown Mouse,Inform Visitor,,,,,,,1,,,,2,
Unknown Myotis bat,Inform Visitor,,,,,,,,,,,2,
Unknown owl,Inform Visitor,,,,,,,,,1,,,
Unknown rodent,Inform Visitor,,,,,,1,,,1,,,
Unknown sea lion,Inform Visitor,,,,,,,1,,,,,
Unknown ungulate,Inform Visitor,,,1,,,,,,,,,
Wasp,Inform Visitor,,,,,,,,2,5,,2,2
Weevil,Inform Visitor,,,,,,,,,,,1,
Western Painted Turtle,Inform Visitor,,,,,,,,,,1,,
White-tailed Deer,Inform Visitor,3,1,1,,1,2,2,23,35,53,39,31
White-winged Crossbill,Inform Visitor,1,,,,,,,,,,,
Wolf,Inform Visitor,3,11,5,1,3,6,24,17,5,,4,3
Wolverine,Inform Visitor,,,2,1,,,,,,,,
Wood Bison,Inform Visitor,,,,1,,1,,,2,1,,
Woodchuck,Inform Visitor,,,,,,,,1,,,,
Woodrat,Inform Visitor,1,,,,,,3,,,,,
Yellow Warbler,Inform Visitor,,,,,,,1,,,,,
Yellow-bellied Racer,Inform Visitor,,,,1,,,,,,,,
Beaver,Infrastructure modification,,1,,11,55,12,9,87,11,21,50,4
Burrowing Owl,Infrastructure modification,,,,1,,,,,,,,
Domestic Cattle,Infrastructure modification,,,,,,1,,,,,,
Greater Sage-grouse,Infrastructure modification,,1,,,,,,,,,,
Plains Bison,Infrastructure modification,,1,,1,,,,,,,,
Unknown fish,Infrastructure modification,,,,,,,,4,,,,
Western Toad,Infrastructure modification,,,,,,,,2,,,,
American Robin,Investigate Incident,,2,,1,1,2,,,,1,1,1
American Tree Sparrow,Investigate Incident,,,,1,1,1,,,,,,
Atlantic White-sided Dolphin,Investigate Incident,,,,,,,,,,1,,
Badger,Investigate Incident,1,,,,1,,,,,,,
Bald Eagle,Investigate Incident,,2,1,,4,2,4,1,1,2,2,
Barn Swallow,Investigate Incident,,,1,3,1,2,1,,1,3,1,2
Barred Owl,Investigate Incident,,,,,,2,3,,1,,1,
Beaver,Investigate Incident,2,3,3,2,5,7,5,3,3,2,3,3
Belted Kingfisher,Investigate Incident,,,,,,,1,,,,,
Big Brown Bat,Investigate Incident,,1,,3,2,1,,,,,,
Big Skate,Investigate Incident,,,,,,,,,,,,1
Bighorn Sheep,Investigate Incident,17,24,19,31,25,32,18,19,20,19,23,38
Black Bear,Investigate Incident,326,475,498,437,559,581,609,460,531,1024,446,572
Black Rat,Investigate Incident,,,,,,2,,,,,,
Black-tailed deer,Investigate Incident,,2,,,3,1,1,3,,2,,1
Black-tailed prairie dog,Investigate Incident,,,,,,1,,,,,,
Blanding's Turtle,Investigate Incident,,,,1,,,,,,,,
Blue Grouse,Investigate Incident,1,,,,,,,,,,,
Blue Shark,Investigate Incident,,,,,,,,,2,,,
Bluefin tuna,Investigate Incident,,,,,,1,,,,,,
Bluntnose Sixgill Shark,Investigate Incident,,,1,,,,,,,,,
Bobcat,Investigate Incident,,,1,,,,,,,,,
Boreal Owl,Investigate Incident,,,,1,,,,,,,,
Broad-winged Hawk,Investigate Incident,,1,,,,,,,,,,
Brook Trout,Investigate Incident,,,,,,1,,,,,,
Brown Rat,Investigate Incident,1,,,,,,,,,,,
Brown-headed cowbird,Investigate Incident,,,1,,,,,,,,,
Bullfrog,Investigate Incident,,,,,,,,1,,,,
Burrowing Owl,Investigate Incident,,,1,2,,,,,,,,
California Gull,Investigate Incident,,,,1,,,,,,,,
California Sea Lion,Investigate Incident,,1,,2,2,,1,,3,1,,
Canada Goose,Investigate Incident,1,5,2,6,4,43,26,9,5,4,4,5
Caribou,Investigate Incident,,,1,,,1,2,,1,1,,
Cedar Waxwing,Investigate Incident,,,1,,,,,3,,,,3
Chestnut-backed Chickadee,Investigate Incident,,,,,,,,3,,,,
Chipping Sparrow,Investigate Incident,,,,,1,,,,,,,
Columbian Ground Squirrel,Investigate Incident,,3,1,,1,2,7,4,2,1,1,7
Common Gartersnake,Investigate Incident,,1,,,,,,,,,,1
Common Goldeneye,Investigate Incident,,,1,,,,,,1,,,
Common Loon,Investigate Incident,1,1,1,3,1,3,3,,,,3,3
Common Merganser,Investigate Incident,,,,,,,1,,,,,1
Common Murre,Investigate Incident,1,,,,1,,,,,,,
Common Nighthawk,Investigate Incident,,,,,,1,,,,,,
Common Redpoll,Investigate Incident,,,,,,,,,,,,1
Common Tern,Investigate Incident,,,,1,,,,,,,,
Cooper's Hawk,Investigate Incident,,,,,,,,,,,,1
Cougar,Investigate Incident,26,63,47,37,66,45,32,31,20,34,10,39
Coyote,Investigate Incident,27,71,55,74,56,74,69,24,44,36,50,23
Crow,Investigate Incident,,1,1,2,,5,2,1,2,,2,2
Dark-eyed Junco,Investigate Incident,,,1,,,1,1,,,,3,
Deer Mouse,Investigate Incident,,,,,,,2,,,,,
Domestic Bison,Investigate Incident,,,,,,,1,,,,,
Domestic Cat,Investigate Incident,2,2,2,2,3,3,,3,1,1,5,3
Domestic Cattle,Investigate Incident,6,,1,,,1,,,1,,,
Domestic Chicken,Investigate Incident,,,,,,,,,,1,1,1
Domestic Dog,Investigate Incident,11,14,13,4,6,16,16,18,4,10,10,16
Domestic ferret,Investigate Incident,,,,,,1,,,,,,
Domestic Horse,Investigate Incident,,3,2,2,2,,1,1,,1,2,3
Domestic rat,Investigate Incident,,,,,,,,,,,,1
Domestic Sheep,Investigate Incident,,,,,,1,1,,,,,
Double-crested Cormorant,Investigate Incident,1,2,,1,2,,,,,,,
Downy Woodpecker,Investigate Incident,1,,,,,,1,,,,,1
Eastern Chipmunk,Investigate Incident,,,,,1,,,,,,2,
Eastern Foxsnake,Investigate Incident,,,,1,,,,,,,1,
Eastern Grey Squirrel,Investigate Incident,,,2,,,,,,,,,
Eastern Hog-nosed Snake,Investigate Incident,,,,,1,,,,,,,
Elk,Investigate Incident,137,118,152,188,243,289,303,133,202,249,228,228
Ermine,Investigate Incident,,,,,,,,,,,1,
European rabbit,Investigate Incident,,3,2,3,11,,2,,,1,2,
Field Sparrow,Investigate Incident,,,1,,1,,,,,,,
Glaucous Gull,Investigate Incident,,,,,,,,,,1,,1
Golden Eagle,Investigate Incident,,,1,,,,,,,1,,
Golden-crowned Kinglet,Investigate Incident,,,,,,,1,,,2,,1
Golden-mantled Ground Squirrel,Investigate Incident,,1,2,,,,,,,,1,
Gray Jay,Investigate Incident,,,,2,,,,1,,,,
Great Black-backed Gull,Investigate Incident,,,,,,,1,,,,,
Great Blue Heron,Investigate Incident,,1,,,,3,,,,1,1,1
Great Grey Owl,Investigate Incident,,2,,1,,1,1,,,1,1,
Great Horned Owl,Investigate Incident,,,,,2,1,4,1,1,,,
Great White Shark,Investigate Incident,,,,,,,,,,,1,
Greater Sage-grouse,Investigate Incident,,,,,,,,,,,,1
Greater White-fronted Goose,Investigate Incident,,,,,,,1,,,,,
Green Sea Turtle,Investigate Incident,,2,,,,,,,,,,
Grey Seal,Investigate Incident,2,4,,,,,1,,1,1,1,
Grey Whale,Investigate Incident,,,1,1,,,2,,,3,,
Grizzly Bear,Investigate Incident,162,169,128,188,320,273,488,216,212,252,247,270
Hairy Woodpecker,Investigate Incident,,,,1,,,,,,,,
Harbour Porpoise,Investigate Incident,2,2,,,,,,,,1,,1
Harbour seal,Investigate Incident,2,1,,,4,1,4,1,3,,3,4
Harp Seal,Investigate Incident,,1,,1,,,,,,,,
Herring Gull,Investigate Incident,1,2,,,,,,,,,,
Hoary Marmot,Investigate Incident,1,,,2,1,1,,3,1,3,1,3
Honey bee,Investigate Incident,,,,,1,,,1,,,1,
Hooded Merganser,Investigate Incident,,,,,,,,,1,,,
Horned Grebe,Investigate Incident,,,,2,,,1,,,,,
House Sparrow,Investigate Incident,,1,,,2,2,3,4,2,3,1,6
Humpback Whale,Investigate Incident,,,,,,,2,,,,,
Killer Whale,Investigate Incident,,,,,,,1,,,,,
Lake Whitefish,Investigate Incident,,,,,,,1,,,,,
Least Chipmunk,Investigate Incident,1,,,,1,,1,,,1,1,1
Least Weasel,Investigate Incident,,,,,1,,,,,,,
Little Brown Myotis,Investigate Incident,,1,,1,,3,,1,3,4,1,9
Long-beaked Common Dolphin,Investigate Incident,,,,,1,,,,,,,1
Long-eared Myotis,Investigate Incident,,,,,,,,,,,,1
Longnose lancetfish,Investigate Incident,,,,,,,,,,,,1
Lynx,Investigate Incident,1,5,4,3,,5,,,9,5,4,2
Magpie,Investigate Incident,7,,3,2,6,14,8,6,3,4,2,11
Mallard,Investigate Incident,,1,2,1,2,,3,2,4,,1,3
Marten,Investigate Incident,3,6,8,4,6,12,11,8,11,12,13,13
Massasauga,Investigate Incident,2,3,2,11,,1,1,1,2,,2,2
Merlin,Investigate Incident,,1,,,,1,1,,,2,,2
Mink,Investigate Incident,,,,,,3,,,,,,
Minke Whale,Investigate Incident,2,2,,,,,,,,,,
Moose,Investigate Incident,33,25,27,34,37,25,30,17,27,24,20,12
Mountain Goat,Investigate Incident,2,12,2,10,9,11,13,5,5,7,6,12
Mountain Whitefish,Investigate Incident,,,,,,1,,,,,,
Mule Deer,Investigate Incident,110,75,67,69,48,74,71,22,26,45,27,38
Muskrat,Investigate Incident,1,,,,1,1,2,1,1,1,,
Mute Swan,Investigate Incident,,,,1,,,,,,,,
None,Investigate Incident,25,30,39,44,73,68,80,26,23,24,21,48
Northern Elephant Seal,Investigate Incident,,,,1,,,,1,,2,,1
Northern Flicker,Investigate Incident,,,1,,,1,,,3,,2,2
Northern Gannet,Investigate Incident,3,5,2,1,,3,,2,1,2,,
Northern Hawk Owl,Investigate Incident,,,,1,,,,,,,,
Northern Pygmy-Owl,Investigate Incident,,,,2,,,,,2,,,
Northern Rough-winged Swallow,Investigate Incident,1,,,,,,,,,,,
Northern Saw-whet Owl,Investigate Incident,1,,,,1,1,,,,,,
Olive Ridley Sea Turtle,Investigate Incident,,1,,,,,,,,,,
Orange-crowned Warbler,Investigate Incident,,,,,,,1,,,,,
Osprey,Investigate Incident,,2,,1,1,,1,,,1,,1
Peregrine Falcon,Investigate Incident,,,,,,1,1,,,,,
Pileated Woodpecker,Investigate Incident,,,,,,,,,,,,1
Pine Siskin,Investigate Incident,,,,,,1,,,,,,
Piping Plover,Investigate Incident,,,,,,1,,,,,,
Plains Bison,Investigate Incident,8,12,14,19,10,25,18,3,8,12,9,3
Plains Gartersnake,Investigate Incident,,1,,,,,,,,1,,
Polar Bear,Investigate Incident,,,,1,,,,,,,,
Porcupine,Investigate Incident,,2,1,3,10,3,9,6,5,5,4,5
Prairie Rattlesnake,Investigate Incident,,,,,,,,,1,1,,
Raccoon,Investigate Incident,7,11,7,7,6,3,5,1,6,4,4,5
Raven,Investigate Incident,9,2,3,3,5,12,10,4,4,8,6,8
Red Crossbill,Investigate Incident,,,,,,1,,,,,,
Red Fox,Investigate Incident,11,10,20,14,8,10,6,4,15,29,54,41
Red Squirrel,Investigate Incident,2,5,6,5,6,3,6,7,5,4,8,7
Red-breasted Merganser,Investigate Incident,,,,1,1,,,,,,,
Red-necked Grebe,Investigate Incident,,,1,1,,,,,1,,,
Red-tailed Hawk,Investigate Incident,,,,2,1,1,,1,1,,,
Red-winged Blackbird,Investigate Incident,,,,,,,,,,,1,
Richardson's Ground Squirrel,Investigate Incident,2,,,,,,1,1,,,,
Ring-billed Gull,Investigate Incident,,,,1,,1,,,,1,,
River Otter,Investigate Incident,,,1,,,,,,,2,1,1
Rock Pigeon,Investigate Incident,1,2,1,,1,2,8,1,2,4,4,6
Rough-legged Hawk,Investigate Incident,,,,,,,1,,,,,
Ruby-crowned Kinglet,Investigate Incident,,,,,,,,1,,,,
Ruby-throated Hummingbird,Investigate Incident,,,,,,1,,1,,,,
Ruffed Grouse,Investigate Incident,,3,1,,,1,,,1,,,
Rufous Hummingbird,Investigate Incident,,,,,,1,,,,1,,
Salmon Shark,Investigate Incident,,,,,1,,,,,2,,1
Sea Otter,Investigate Incident,,,,2,,1,1,,1,,1,1
Sharp-shinned Hawk,Investigate Incident,,,,,,,,,1,,,
Short-eared Owl,Investigate Incident,,,,1,,,,,,,,
Shortfin Mako Shark,Investigate Incident,,,,,,,1,,,,,
Silver-haired Bat,Investigate Incident,,,,,,1,,,,,,
Skunk,Investigate Incident,3,,6,2,4,2,5,3,1,2,1,
Snapping Turtle,Investigate Incident,,,,1,,,,,,,,
Snowshoe Hare,Investigate Incident,1,1,,4,2,2,1,2,2,1,1,2
Snowy Owl,Investigate Incident,1,,,,,,,,,,,
Spruce Grouse,Investigate Incident,,,1,2,,,,,,,,2
Steller Sea Lion,Investigate Incident,5,2,3,2,1,2,5,1,3,2,1,3
Steller's Jay,Investigate Incident,,,1,,1,,1,,,,,
Striped Dolphin,Investigate Incident,,,,,,,1,,,,,
Swainson's Thrush,Investigate Incident,,,,,,,,,1,,,
Terrestrial Gartersnake,Investigate Incident,,,,,,,,1,,,,
Tiger Salamander,Investigate Incident,1,,,,,,,,,,,
Trumpeter swan,Investigate Incident,1,,,,1,1,,1,1,1,,2
Unknown,Investigate Incident,7,8,5,15,10,9,18,12,12,21,17,20
Unknown bat,Investigate Incident,,1,,3,3,1,6,5,6,10,8,10
Unknown bear,Investigate Incident,23,15,12,10,33,20,37,16,19,25,14,21
Unknown bird,Investigate Incident,6,2,2,5,3,7,7,1,9,7,9,19
Unknown Bison,Investigate Incident,,,,,,,1,,,,,
Unknown canid,Investigate Incident,,,,1,1,1,1,,2,4,4,3
Unknown deer,Investigate Incident,18,26,12,17,12,22,12,17,27,26,24,37
Unknown Duck,Investigate Incident,,2,1,,,3,2,1,2,,5,2
Unknown fish,Investigate Incident,1,2,,1,,,,,,,1,1
Unknown grouse,Investigate Incident,,,,,,,,,,,,1
Unknown gull,Investigate Incident,1,3,1,2,1,1,1,,,,,
Unknown hawk,Investigate Incident,,,,1,,,,,,,,
Unknown Mollusk,Investigate Incident,,,,,,,,1,,,,2
Unknown Mouse,Investigate Incident,,,,,,,,,,,1,
Unknown mustelid,Investigate Incident,,,,2,1,,,,,3,,1
Unknown Myotis bat,Investigate Incident,,,,,,,,,3,1,2,2
Unknown Octopus,Investigate Incident,,,,,,,,,,,,1
Unknown owl,Investigate Incident,2,,,,1,1,1,,1,4,,
Unknown raptor,Investigate Incident,1,,,,1,2,1,,,2,,1
Unknown rodent,Investigate Incident,1,,,,2,1,,,2,3,,
Unknown sea lion,Investigate Incident,,1,,,,1,,,,,2,
Unknown seal,Investigate Incident,1,2,1,,1,,,,,,,
Unknown shrew,Investigate Incident,,,,,1,,,,,,,
Unknown snake,Investigate Incident,,,,,,,1,,,1,,
Unknown sucker,Investigate Incident,1,,,,,,1,,,,,
Unknown ungulate,Investigate Incident,4,,1,1,,2,1,2,1,2,4,3
Unknown whale,Investigate Incident,,2,,,,,,,,,,
Violet-green Swallow,Investigate Incident,,,,,,,,,,,,1
Wasp,Investigate Incident,1,3,5,10,,1,,3,2,1,2,4
Western Painted Turtle,Investigate Incident,,,,,,1,,,,,,
Western Toad,Investigate Incident,,,,,1,,,,2,,,
White Pelican,Investigate Incident,,1,,,,1,,,1,,,
White-crowned Sparrow,Investigate Incident,,,,,,,,,,1,,
White-tailed Deer,Investigate Incident,30,42,45,43,41,60,60,25,17,28,16,19
Whooping Crane,Investigate Incident,,,1,,,,,,,,,
Wild Boar,Investigate Incident,,,,,,,,,,1,,1
Wild Horse,Investigate Incident,,,,,,,,,,,1,
Wild Turkey,Investigate Incident,,,,,,,10,,1,,,
Wolf,Investigate Incident,24,45,77,53,62,69,168,58,38,42,102,32
Wolverine,Investigate Incident,,,3,2,1,1,,2,1,1,2,1
Wood Bison,Investigate Incident,8,8,7,13,4,4,8,3,3,4,8,6
Wood Duck,Investigate Incident,,,,,1,,,,,,,
Woodchuck,Investigate Incident,,,,,1,1,1,,,,,
Woodrat,Investigate Incident,1,3,2,,2,5,3,2,2,2,3,2
Yellow Warbler,Investigate Incident,,,,,,,1,,,,,1
Yellow-bellied Sapsucker,Investigate Incident,,,,,,,1,,,,,
Black Bear,Issue Prohibited Activity Order,,,,1,,,1,,,,,
Black Swift,Issue Prohibited Activity Order,,,,,,,,,,,1,
