"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi","residuals"
8,2019,"THIS",0.0782400464979305,0.539120023248965,-1.3785589866652
9,2019,"THIS",0.183209071433191,0.591604535716596,-0.441230126273001
10,2019,"THIS",0.120647849106578,0.560323924553289,-0.896133278720714
11,2019,"THIS",0.316808544139579,0.658404272069789,0.680632732409031
12,2019,"THIS",0.442524341673371,0.721262170836686,1.70242421042012
1,2020,"THIS",0.148581611222524,0.574290805611262,-0.85096931420177
2,2020,"THIS",0.516328628662771,0.758164314331385,2.53898868749329
3,2020,"THIS",0.0610113401199286,0.530505670059964,-1.27476020085157
4,2020,"THIS",0.033177011391943,0.516588505695971,-1.49314692207725
5,2020,"THIS",0.0340900846281348,0.517045042314067,-1.57283574193951
6,2020,"THIS",0.518005307211953,0.759002653605977,2.46919959303252
7,2020,"THIS",0.553324119356931,0.776662059678465,2.74404604877393
8,2020,"THIS",0.118865053773605,0.559432526886802,-1.06509118103816
9,2020,"THIS",0.305475357094253,0.652737678547126,0.579255272281233
10,2020,"THIS",0.191285770281388,0.595642885140694,-0.309346860586626
11,2020,"THIS",0.213939150851544,0.606969575425772,-0.173757823352682
12,2020,"THIS",0.355617763380595,0.677808881690298,0.918397816524404
1,2021,"THIS",0.235724388687907,0.617862194343954,-0.182150587004289
2,2021,"THIS",0.449158149508778,0.724579074754389,1.85989579142578
3,2021,"THIS",0.116241692418233,0.558120846209117,-0.85555696249065
4,2021,"THIS",0.0373449234009285,0.518672461700464,-1.48700674036792
5,2021,"THIS",0.0457490704769263,0.522874535238463,-1.51535164055686
6,2021,"THIS",0.341468618888552,0.670734309444276,0.793374901200788
7,2021,"THIS",0.514414571387173,0.757207285693587,2.29570893653351
8,2021,"THIS",0.136076182925344,0.568038091462672,-0.974708183859367
9,2021,"THIS",0.41964617358816,0.70982308679408,1.54961109984313
10,2021,"THIS",0.220221448065434,0.610110724032717,-0.0943390519523719
11,2021,"THIS",0.253994841132719,0.62699742056636,0.131727935993441
12,2021,"THIS",0.328455765568439,0.66422788278422,0.644064866704643
1,2010,"WAPU",-0.015796864636328,0.492101567681836,-0.411306202679291
2,2010,"WAPU",0.171955154200754,0.585977577100377,1.14758038508314
3,2010,"WAPU",-0.0497619009549353,0.475119049522532,-0.608457798019435
4,2010,"WAPU",-0.0499580316996583,0.475020984150171,-0.577729203294542
5,2010,"WAPU",-0.0502342721201764,0.474882863939912,-0.566709391743591
6,2010,"WAPU",0.243461002856968,0.621730501428484,1.82510618237182
7,2010,"WAPU",0.214614345222085,0.607307172611043,1.56280570033838
8,2010,"WAPU",-0.047237913991415,0.476381043004293,-0.60564753761889
9,2010,"WAPU",0.0436947283172181,0.521847364158609,0.0821555537876865
10,2010,"WAPU",-0.0476290175775076,0.476185491211246,-0.686776388097475
11,2010,"WAPU",0.0432604525583127,0.521630226279156,0.0407149688375837
12,2010,"WAPU",0.11397640433392,0.55698820216696,0.632979647594824
1,2011,"WAPU",-0.0413896797334586,0.479305160133271,-0.627746774164381
2,2011,"WAPU",0.195782322417497,0.597891161208749,1.35020797816185
3,2011,"WAPU",-0.0469354599931139,0.476532270003443,-0.571045106142846
4,2011,"WAPU",-0.0442383128586153,0.477880843570692,-0.520225569033391
5,2011,"WAPU",-0.0467632359644776,0.476618382017761,-0.538711432657121
6,2011,"WAPU",0.230327255856503,0.615163627928252,1.70335923087328
7,2011,"WAPU",0.172799430680188,0.586399715340094,1.20004474804252
8,2011,"WAPU",-0.0336974686021203,0.48315126569894,-0.506435333343027
9,2011,"WAPU",-0.0188185618027158,0.490590719098642,-0.418693809954038
10,2011,"WAPU",-0.022093023803501,0.48895348809825,-0.469707353538508
11,2011,"WAPU",0.0273608815239506,0.513680440761975,-0.082123276487394
12,2011,"WAPU",0.207416858795706,0.603708429397853,1.39317391306994
1,2012,"WAPU",-0.0451205947497855,0.477439702625107,-0.74518887937366
2,2012,"WAPU",0.262714882444911,0.631357441222456,1.83878699892855
3,2012,"WAPU",-0.0483921734322684,0.475803913283866,-0.646616706325216
4,2012,"WAPU",-0.0488236932263729,0.475588153386814,-0.624285852331671
5,2012,"WAPU",-0.0494480273225502,0.475275986338725,-0.63857345995353
6,2012,"WAPU",0.206069086909042,0.603034543454521,1.41077834043569
7,2012,"WAPU",0.127122116451367,0.563561058225683,0.730891722472724
8,2012,"WAPU",-0.0449689606660089,0.477515519666996,-0.685935446756495
9,2012,"WAPU",0.0268216410389559,0.513410820519478,-0.125227830737384
10,2012,"WAPU",-0.0430828457035725,0.478458577148214,-0.705205455573611
11,2012,"WAPU",0.0317586112181681,0.515879305609084,-0.118204192755008
12,2012,"WAPU",0.122082099656302,0.561041049828151,0.606334399951782
1,2013,"WAPU",-0.0338799550222212,0.483060022488889,-0.822345138416904
2,2013,"WAPU",0.16214206710418,0.58107103355209,0.8458773850499
3,2013,"WAPU",-0.0505654395911104,0.474717280204445,-0.809545004020846
4,2013,"WAPU",-0.0420925449247939,0.478953727537603,-0.71844766857197
5,2013,"WAPU",-0.0483083775231165,0.475845811238442,-0.788829997757003
6,2013,"WAPU",0.230852231045812,0.615426115522906,1.44582860040885
7,2013,"WAPU",0.270601507557644,0.635300753778822,1.74563967421866
8,2013,"WAPU",-0.0321467422262001,0.4839266288869,-0.752541883344848
9,2013,"WAPU",0.0397683263824864,0.519884163191243,-0.176343758819516
10,2013,"WAPU",-0.0461502706364034,0.476924864681798,-0.87643062394959
11,2013,"WAPU",-0.0130552343396055,0.493472382830197,-0.631107034839072
12,2013,"WAPU",0.137786105154388,0.568893052577194,0.569071495472782
1,2014,"WAPU",-0.0211662102671134,0.489416894866443,-0.92249488424348
2,2014,"WAPU",0.327643427022094,0.663821713511047,2.05148170941842
3,2014,"WAPU",-0.029202571453547,0.485398714273227,-0.818188435730609
4,2014,"WAPU",-0.0218914982764906,0.489054250861755,-0.739607292449661
5,2014,"WAPU",-0.0314026035626104,0.484298698218695,-0.847196579590538
