"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi"
4,2018,"GBIS",0.0388470239721072,0.519423511986054
5,2018,"GBIS",0.0487116068851461,0.524355803442573
6,2018,"GBIS",0.501837644956304,0.750918822478152
7,2018,"GBIS",0.390700288031687,0.695350144015843
8,2018,"GBIS",0.0927749997862677,0.546387499893134
9,2018,"GBIS",0.340123809148397,0.670061904574198
10,2018,"GBIS",0.101660287355087,0.550830143677543
11,2018,"GBIS",0.114499555300853,0.557249777650426
12,2018,"GBIS",0.375561781889765,0.687780890944882
1,2019,"GBIS",0.107428161086076,0.553714080543038
2,2019,"GBIS",0.547970831910343,0.773985415955172
3,2019,"GBIS",0.0552017241702404,0.52760086208512
4,2019,"GBIS",0.0426858025257985,0.521342901262899
5,2019,"GBIS",0.0718311732824628,0.535915586641231
6,2019,"GBIS",0.540023889599964,0.770011944799982
7,2019,"GBIS",0.427102500129375,0.713551250064687
8,2019,"GBIS",0.0621919355381146,0.531095967769057
9,2019,"GBIS",0.228700555561603,0.614350277780802
10,2019,"GBIS",0.122154252624979,0.56107712631249
11,2019,"GBIS",0.291978161908977,0.645989080954488
12,2019,"GBIS",0.35422435935773,0.677112179678865
1,2020,"GBIS",0.258654939756815,0.629327469878407
2,2020,"GBIS",0.359063095129432,0.679531547564716
3,2020,"GBIS",0.119570429539974,0.559785214769987
4,2020,"GBIS",0.0615386904051927,0.530769345202596
5,2020,"GBIS",0.0428075002896916,0.521403750144846
6,2020,"GBIS",0.422251785656579,0.71112589282829
7,2020,"GBIS",0.559669446505573,0.779834723252786
8,2020,"GBIS",0.0884559136678335,0.544227956833917
9,2020,"GBIS",0.372565477565762,0.686282738782881
10,2020,"GBIS",0.18093388903088,0.59046694451544
11,2020,"GBIS",0.165547322021336,0.582773661010668
12,2020,"GBIS",0.314800001160809,0.657400000580404
1,2021,"GBIS",0.266684615178292,0.633342307589146
2,2021,"GBIS",0.497801282444921,0.74890064122246
3,2021,"GBIS",0.0841783330135291,0.542089166506765
4,2021,"GBIS",0.0706983951517056,0.535349197575853
5,2021,"GBIS",0.0681131672540453,0.534056583627023
6,2021,"GBIS",0.264647222041968,0.632323611020984
7,2021,"GBIS",0.430762067398121,0.71538103369906
8,2021,"GBIS",0.125621944410307,0.562810972205154
9,2021,"GBIS",0.369354628496497,0.684677314248249
10,2021,"GBIS",0.138222222985671,0.569111111492836
11,2021,"GBIS",0.166837643208038,0.583418821604019
12,2021,"GBIS",0.34540316246095,0.672701581230475
1,2010,"GLAC",0.0355656345719231,0.517782817285962
2,2010,"GLAC",0.149890316642121,0.574945158321061
3,2010,"GLAC",0.027203116630373,0.513601558315187
4,2010,"GLAC",0.0359938914389129,0.517996945719456
5,2010,"GLAC",0.0232437150555059,0.511621857527753
6,2010,"GLAC",0.152193848811226,0.576096924405613
7,2010,"GLAC",0.0591412371701218,0.529570618585061
8,2010,"GLAC",0.0417389610009949,0.520869480500497
9,2010,"GLAC",0.0360772448650875,0.518038622432544
10,2010,"GLAC",0.0353703470216683,0.517685173510834
11,2010,"GLAC",0.133917251978675,0.566958625989338
12,2010,"GLAC",0.129281718146892,0.564640859073446
1,2011,"GLAC",0.0367958462459905,0.518397923122995
2,2011,"GLAC",0.216132142772626,0.608066071386313
3,2011,"GLAC",0.0275749313483913,0.513787465674196
4,2011,"GLAC",0.0371049137716212,0.518552456885811
5,2011,"GLAC",0.024858342185031,0.512429171092516
6,2011,"GLAC",0.105015704475502,0.552507852237751
7,2011,"GLAC",0.0429283373532008,0.5214641686766
8,2011,"GLAC",0.0303114663955492,0.515155733197775
9,2011,"GLAC",0.029833336675555,0.514916668337777
10,2011,"GLAC",0.0311780971852123,0.515589048592606
11,2011,"GLAC",0.0636238896375594,0.53181194481878
12,2011,"GLAC",0.237560705750306,0.618780352875153
1,2012,"GLAC",0.0306146391759812,0.515307319587991
2,2012,"GLAC",0.258521791632205,0.629260895816103
3,2012,"GLAC",0.020794334408238,0.510397167204119
4,2012,"GLAC",0.0345152442498756,0.517257622124938
5,2012,"GLAC",0.024750124815209,0.512375062407605
6,2012,"GLAC",0.124526845262973,0.562263422631487
7,2012,"GLAC",0.0294843878973746,0.514742193948687
8,2012,"GLAC",0.0307352224531479,0.515367611226574
9,2012,"GLAC",0.0367645376245722,0.518382268812286
10,2012,"GLAC",0.0316160937210292,0.515808046860515
11,2012,"GLAC",0.0995754935360934,0.549787746768047
12,2012,"GLAC",0.272344811166359,0.636172405583179
1,2013,"GLAC",0.0404289003601176,0.520214450180059
2,2013,"GLAC",0.167842304829157,0.583921152414579
3,2013,"GLAC",0.0336493001554879,0.516824650077744
4,2013,"GLAC",0.0348905266499712,0.517445263324986
5,2013,"GLAC",0.0229863834228159,0.511493191711408
6,2013,"GLAC",0.189926460471041,0.594963230235521
7,2013,"GLAC",0.0607807012716522,0.530390350635826
8,2013,"GLAC",0.038799201850551,0.519399600925275
9,2013,"GLAC",0.0406280554058719,0.520314027702936
10,2013,"GLAC",0.0301487904796805,0.51507439523984
11,2013,"GLAC",0.105947358868262,0.552973679434131
12,2013,"GLAC",0.166691755372074,0.583345877686037
1,2014,"GLAC",0.0115537113628021,0.505776855681401
2,2014,"GLAC",0.215761453804113,0.607880726902057
3,2014,"GLAC",-0.00352723149325821,0.498236384253371
4,2014,"GLAC",0.0187628349265598,0.50938141746328
5,2014,"GLAC",0.00879092226331908,0.50439546113166
6,2014,"GLAC",0.234479931243954,0.617239965621977
7,2014,"GLAC",0.0616540893393102,0.530827044669655
8,2014,"GLAC",0.00935932823680152,0.504679664118401
9,2014,"GLAC",0.0129852015441134,0.506492600772057
10,2014,"GLAC",0.0180025965810543,0.509001298290527
11,2014,"GLAC",0.0748534364384551,0.537426718219228
12,2014,"GLAC",0.214219918075752,0.607109959037876
1,2015,"GLAC",0.0210120274746099,0.510506013737305
2,2015,"GLAC",0.259643099845491,0.629821549922746
3,2015,"GLAC",-0.014529957093502,0.492735021453249
4,2015,"GLAC",0.0119698974358559,0.505984948717928
5,2015,"GLAC",-0.00476838985939277,0.497615805070304
6,2015,"GLAC",0.188709656334595,0.594354828167297
7,2015,"GLAC",0.132572027487058,0.566286013743529
8,2015,"GLAC",0.0151786498158224,0.507589324907911
9,2015,"GLAC",0.0493973195644971,0.524698659782248
10,2015,"GLAC",0.00841536840461708,0.504207684202309
11,2015,"GLAC",0.130507213376104,0.565253606688052
12,2015,"GLAC",0.135968762824827,0.567984381412413
1,2016,"GLAC",0.0108032279946125,0.505401613997306
2,2016,"GLAC",0.208371426573617,0.604185713286808
3,2016,"GLAC",-0.00960796848295821,0.495196015758521
4,2016,"GLAC",0.00766268192497105,0.503831340962485
5,2016,"GLAC",-0.00473419194503926,0.49763290402748
6,2016,"GLAC",0.111545223370113,0.555772611685057
7,2016,"GLAC",0.105803214117192,0.552901607058596
8,2016,"GLAC",0.0116135648759988,0.505806782437999
9,2016,"GLAC",0.0431817858251864,0.521590892912593
10,2016,"GLAC",-0.000634197712326931,0.499682901143837
11,2016,"GLAC",0.0392656116207138,0.519632805810357
12,2016,"GLAC",0.161351798828219,0.580675899414109
1,2017,"GLAC",0.00988687284014626,0.504943436420073
2,2017,"GLAC",0.271539131400319,0.63576956570016
3,2017,"GLAC",-0.00126314502289607,0.499368427488552
4,2017,"GLAC",0.0130161406553132,0.506508070327657
5,2017,"GLAC",0.00505889698908982,0.502529448494545
6,2017,"GLAC",0.251974810925417,0.625987405462708
7,2017,"GLAC",0.0739837944111426,0.536991897205571
8,2017,"GLAC",0.00368689724424711,0.501843448622124
9,2017,"GLAC",0.0268350416716722,0.513417520835836
10,2017,"GLAC",-0.00218181058894958,0.498909094705525
11,2017,"GLAC",0.0729927188089051,0.536496359404453
